Domain,Area,Element,Item,Year,Value
"Suite of Food Security Indicators","Bermuda","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bermuda","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bermuda","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bermuda","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bermuda","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bermuda","Value","Political stability and absence of violence/terrorism (index)","2021","1"
"Suite of Food Security Indicators","Bermuda","Value","Political stability and absence of violence/terrorism (index)","2022","1.02"
"Suite of Food Security Indicators","Bermuda","Value","Number of obese adults (18 years and older) (million)","2021","<0.1"
"Suite of Food Security Indicators","Bermuda","Value","Number of obese adults (18 years and older) (million)","2022","<0.1"
"Suite of Food Security Indicators","Bhutan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","13459"
"Suite of Food Security Indicators","Bhutan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","14061"
"Suite of Food Security Indicators","Bhutan","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","14645"
"Suite of Food Security Indicators","Bhutan","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bhutan","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bhutan","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bhutan","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bhutan","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bhutan","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bhutan","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bhutan","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bhutan","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bhutan","Value","Political stability and absence of violence/terrorism (index)","2021","0.8"
"Suite of Food Security Indicators","Bhutan","Value","Political stability and absence of violence/terrorism (index)","2022","1.01"
"Suite of Food Security Indicators","Bhutan","Value","Number of obese adults (18 years and older) (million)","2021","0.1"
"Suite of Food Security Indicators","Bhutan","Value","Number of obese adults (18 years and older) (million)","2022","0.1"
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","9454"
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","9682"
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","9844"
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","9844"
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Political stability and absence of violence/terrorism (index)","2021","-0.28"
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Political stability and absence of violence/terrorism (index)","2022","-0.19"
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Number of obese adults (18 years and older) (million)","2021","2.1"
"Suite of Food Security Indicators","Bolivia (Plurinational State of)","Value","Number of obese adults (18 years and older) (million)","2022","2.2"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","18286"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","19297"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","19804"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","20429"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","3.1"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","2.8"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","1.9"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","2.9"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","2.2"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","1.3"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","3.4"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","3.3"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","2.4"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Political stability and absence of violence/terrorism (index)","2021","-0.42"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Political stability and absence of violence/terrorism (index)","2022","-0.48"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Number of obese adults (18 years and older) (million)","2021","0.6"
"Suite of Food Security Indicators","Bosnia and Herzegovina","Value","Number of obese adults (18 years and older) (million)","2022","0.6"
"Suite of Food Security Indicators","Botswana","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","17961"
"Suite of Food Security Indicators","Botswana","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","18647"
"Suite of Food Security Indicators","Botswana","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","18933"
"Suite of Food Security Indicators","Botswana","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","18069"
"Suite of Food Security Indicators","Botswana","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","26.7"
"Suite of Food Security Indicators","Botswana","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","26.6"
"Suite of Food Security Indicators","Botswana","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","26.1"
"Suite of Food Security Indicators","Botswana","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","24.6"
"Suite of Food Security Indicators","Botswana","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","24.7"
"Suite of Food Security Indicators","Botswana","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","24.5"
"Suite of Food Security Indicators","Botswana","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","28.8"
"Suite of Food Security Indicators","Botswana","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","28.4"
"Suite of Food Security Indicators","Botswana","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","27.8"
"Suite of Food Security Indicators","Botswana","Value","Political stability and absence of violence/terrorism (index)","2021","1.04"
"Suite of Food Security Indicators","Botswana","Value","Political stability and absence of violence/terrorism (index)","2022","1.07"
"Suite of Food Security Indicators","Botswana","Value","Number of obese adults (18 years and older) (million)","2021","0.3"
"Suite of Food Security Indicators","Botswana","Value","Number of obese adults (18 years and older) (million)","2022","0.3"
"Suite of Food Security Indicators","Brazil","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","18076"
"Suite of Food Security Indicators","Brazil","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","18554"
"Suite of Food Security Indicators","Brazil","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","19080"
"Suite of Food Security Indicators","Brazil","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","19648"
"Suite of Food Security Indicators","Brazil","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","8.5"
"Suite of Food Security Indicators","Brazil","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","6.6"
"Suite of Food Security Indicators","Brazil","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","3.4"
"Suite of Food Security Indicators","Brazil","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","7.2"
"Suite of Food Security Indicators","Brazil","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","5.2"
"Suite of Food Security Indicators","Brazil","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","2.9"
"Suite of Food Security Indicators","Brazil","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","9.9"
"Suite of Food Security Indicators","Brazil","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","8"
"Suite of Food Security Indicators","Brazil","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","3.8"
"Suite of Food Security Indicators","Brazil","Value","Political stability and absence of violence/terrorism (index)","2021","-0.42"
"Suite of Food Security Indicators","Brazil","Value","Political stability and absence of violence/terrorism (index)","2022","-0.4"
"Suite of Food Security Indicators","Brazil","Value","Number of obese adults (18 years and older) (million)","2021","43.6"
"Suite of Food Security Indicators","Brazil","Value","Number of obese adults (18 years and older) (million)","2022","45.7"
"Suite of Food Security Indicators","Brunei Darussalam","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","78249"
"Suite of Food Security Indicators","Brunei Darussalam","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","76358"
"Suite of Food Security Indicators","Brunei Darussalam","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","76617"
"Suite of Food Security Indicators","Brunei Darussalam","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","79184"
"Suite of Food Security Indicators","Brunei Darussalam","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Brunei Darussalam","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Brunei Darussalam","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Brunei Darussalam","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Brunei Darussalam","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Brunei Darussalam","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Brunei Darussalam","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Brunei Darussalam","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023",""
"Suite of Food Security Indicators","Brunei Darussalam","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024",""
"Suite of Food Security Indicators","Brunei Darussalam","Value","Political stability and absence of violence/terrorism (index)","2021","1.17"
"Suite of Food Security Indicators","Brunei Darussalam","Value","Political stability and absence of violence/terrorism (index)","2022","1.24"
"Suite of Food Security Indicators","Brunei Darussalam","Value","Number of obese adults (18 years and older) (million)","2021","0.1"
"Suite of Food Security Indicators","Brunei Darussalam","Value","Number of obese adults (18 years and older) (million)","2022","0.1"
"Suite of Food Security Indicators","Bulgaria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","30972"
"Suite of Food Security Indicators","Bulgaria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","32433"
"Suite of Food Security Indicators","Bulgaria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","33140"
"Suite of Food Security Indicators","Bulgaria","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","34083"
"Suite of Food Security Indicators","Bulgaria","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","3.5"
"Suite of Food Security Indicators","Bulgaria","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","2.5"
"Suite of Food Security Indicators","Bulgaria","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","2"
"Suite of Food Security Indicators","Bulgaria","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","3.1"
"Suite of Food Security Indicators","Bulgaria","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","1.7"
"Suite of Food Security Indicators","Bulgaria","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","1.6"
"Suite of Food Security Indicators","Bulgaria","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","3.9"
"Suite of Food Security Indicators","Bulgaria","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","3.3"
"Suite of Food Security Indicators","Bulgaria","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","2.3"
"Suite of Food Security Indicators","Bulgaria","Value","Political stability and absence of violence/terrorism (index)","2021","0.36"
"Suite of Food Security Indicators","Bulgaria","Value","Political stability and absence of violence/terrorism (index)","2022","0.31"
"Suite of Food Security Indicators","Bulgaria","Value","Number of obese adults (18 years and older) (million)","2021","1.2"
"Suite of Food Security Indicators","Bulgaria","Value","Number of obese adults (18 years and older) (million)","2022","1.2"
"Suite of Food Security Indicators","Burkina Faso","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","2486"
"Suite of Food Security Indicators","Burkina Faso","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","2466"
"Suite of Food Security Indicators","Burkina Faso","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","2482"
"Suite of Food Security Indicators","Burkina Faso","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","2548"
"Suite of Food Security Indicators","Burkina Faso","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","7.1"
"Suite of Food Security Indicators","Burkina Faso","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","7.2"
"Suite of Food Security Indicators","Burkina Faso","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","7.3"
"Suite of Food Security Indicators","Burkina Faso","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","7.8"
"Suite of Food Security Indicators","Burkina Faso","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","7.6"
"Suite of Food Security Indicators","Burkina Faso","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","7.4"
"Suite of Food Security Indicators","Burkina Faso","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","6.4"
"Suite of Food Security Indicators","Burkina Faso","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","6.8"
"Suite of Food Security Indicators","Burkina Faso","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","7.3"
"Suite of Food Security Indicators","Burkina Faso","Value","Political stability and absence of violence/terrorism (index)","2021","-1.64"
"Suite of Food Security Indicators","Burkina Faso","Value","Political stability and absence of violence/terrorism (index)","2022","-1.82"
"Suite of Food Security Indicators","Burkina Faso","Value","Number of obese adults (18 years and older) (million)","2021","0.7"
"Suite of Food Security Indicators","Burkina Faso","Value","Number of obese adults (18 years and older) (million)","2022","0.8"
"Suite of Food Security Indicators","Burundi","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","837"
"Suite of Food Security Indicators","Burundi","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","829"
"Suite of Food Security Indicators","Burundi","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","829"
"Suite of Food Security Indicators","Burundi","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","836"
"Suite of Food Security Indicators","Burundi","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Burundi","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","20.9"
"Suite of Food Security Indicators","Burundi","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","20.9"
"Suite of Food Security Indicators","Burundi","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Burundi","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","20.2"
"Suite of Food Security Indicators","Burundi","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","20.2"
"Suite of Food Security Indicators","Burundi","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022",""
"Suite of Food Security Indicators","Burundi","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","21.6"
"Suite of Food Security Indicators","Burundi","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","21.6"
"Suite of Food Security Indicators","Burundi","Value","Political stability and absence of violence/terrorism (index)","2021","-1.26"
"Suite of Food Security Indicators","Burundi","Value","Political stability and absence of violence/terrorism (index)","2022","-1.19"
"Suite of Food Security Indicators","Burundi","Value","Number of obese adults (18 years and older) (million)","2021","0.3"
"Suite of Food Security Indicators","Burundi","Value","Number of obese adults (18 years and older) (million)","2022","0.3"
"Suite of Food Security Indicators","Cabo Verde","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","7685"
"Suite of Food Security Indicators","Cabo Verde","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","8850"
"Suite of Food Security Indicators","Cabo Verde","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","9281"
"Suite of Food Security Indicators","Cabo Verde","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","9908"
"Suite of Food Security Indicators","Cabo Verde","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","6.1"
"Suite of Food Security Indicators","Cabo Verde","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","6"
"Suite of Food Security Indicators","Cabo Verde","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","6.1"
"Suite of Food Security Indicators","Cabo Verde","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","6.1"
"Suite of Food Security Indicators","Cabo Verde","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","6"
"Suite of Food Security Indicators","Cabo Verde","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","6.1"
"Suite of Food Security Indicators","Cabo Verde","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","6.1"
"Suite of Food Security Indicators","Cabo Verde","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","6"
"Suite of Food Security Indicators","Cabo Verde","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","6.1"
"Suite of Food Security Indicators","Cabo Verde","Value","Political stability and absence of violence/terrorism (index)","2021","0.89"
"Suite of Food Security Indicators","Cabo Verde","Value","Political stability and absence of violence/terrorism (index)","2022","0.93"
"Suite of Food Security Indicators","Cabo Verde","Value","Number of obese adults (18 years and older) (million)","2021","0.1"
"Suite of Food Security Indicators","Cabo Verde","Value","Number of obese adults (18 years and older) (million)","2022","0.1"
"Suite of Food Security Indicators","Cambodia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","6226"
"Suite of Food Security Indicators","Cambodia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","6458"
"Suite of Food Security Indicators","Cambodia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","6695"
"Suite of Food Security Indicators","Cambodia","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","7012"
"Suite of Food Security Indicators","Cambodia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","4.5"
"Suite of Food Security Indicators","Cambodia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","4.3"
"Suite of Food Security Indicators","Cambodia","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","3.6"
"Suite of Food Security Indicators","Cambodia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","3.8"
"Suite of Food Security Indicators","Cambodia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","3.7"
"Suite of Food Security Indicators","Cambodia","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","3"
"Suite of Food Security Indicators","Cambodia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","5.2"
"Suite of Food Security Indicators","Cambodia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","5"
"Suite of Food Security Indicators","Cambodia","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","4.2"
"Suite of Food Security Indicators","Cambodia","Value","Political stability and absence of violence/terrorism (index)","2021","-0.13"
"Suite of Food Security Indicators","Cambodia","Value","Political stability and absence of violence/terrorism (index)","2022","-0.1"
"Suite of Food Security Indicators","Cambodia","Value","Number of obese adults (18 years and older) (million)","2021","0.4"
"Suite of Food Security Indicators","Cambodia","Value","Number of obese adults (18 years and older) (million)","2022","0.5"
"Suite of Food Security Indicators","Cameroon","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","4794"
"Suite of Food Security Indicators","Cameroon","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","4844"
"Suite of Food Security Indicators","Cameroon","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","4871"
"Suite of Food Security Indicators","Cameroon","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","4919"
"Suite of Food Security Indicators","Cameroon","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","26.7"
"Suite of Food Security Indicators","Cameroon","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","25.4"
"Suite of Food Security Indicators","Cameroon","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","24.7"
"Suite of Food Security Indicators","Cameroon","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","27.8"
"Suite of Food Security Indicators","Cameroon","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","26.1"
"Suite of Food Security Indicators","Cameroon","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","24.6"
"Suite of Food Security Indicators","Cameroon","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","25.6"
"Suite of Food Security Indicators","Cameroon","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","24.7"
"Suite of Food Security Indicators","Cameroon","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","24.7"
"Suite of Food Security Indicators","Cameroon","Value","Political stability and absence of violence/terrorism (index)","2021","-1.39"
"Suite of Food Security Indicators","Cameroon","Value","Political stability and absence of violence/terrorism (index)","2022","-1.38"
"Suite of Food Security Indicators","Cameroon","Value","Number of obese adults (18 years and older) (million)","2021","2"
"Suite of Food Security Indicators","Cameroon","Value","Number of obese adults (18 years and older) (million)","2022","2.1"
"Suite of Food Security Indicators","Canada","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","56995"
"Suite of Food Security Indicators","Canada","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","58321"
"Suite of Food Security Indicators","Canada","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","57517"
"Suite of Food Security Indicators","Canada","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","56692"
"Suite of Food Security Indicators","Canada","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","1.2"
"Suite of Food Security Indicators","Canada","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","1.5"
"Suite of Food Security Indicators","Canada","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2022-2024","1.9"
"Suite of Food Security Indicators","Canada","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2020-2022","1"
"Suite of Food Security Indicators","Canada","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2021-2023","1.3"
"Suite of Food Security Indicators","Canada","Value","Prevalence of severe food insecurity in the male adult population (percent) (3-year average)","2022-2024","1.6"
"Suite of Food Security Indicators","Canada","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2020-2022","1.5"
"Suite of Food Security Indicators","Canada","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2021-2023","1.7"
"Suite of Food Security Indicators","Canada","Value","Prevalence of severe food insecurity in the female adult population (percent) (3-year average)","2022-2024","2.2"
"Suite of Food Security Indicators","Canada","Value","Political stability and absence of violence/terrorism (index)","2021","0.96"
"Suite of Food Security Indicators","Canada","Value","Political stability and absence of violence/terrorism (index)","2022","0.78"
"Suite of Food Security Indicators","Canada","Value","Number of obese adults (18 years and older) (million)","2021","8.1"
"Suite of Food Security Indicators","Canada","Value","Number of obese adults (18 years and older) (million)","2022","8.2"
"Suite of Food Security Indicators","Central African Republic","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2021","1129"
"Suite of Food Security Indicators","Central African Republic","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2022","1137"
"Suite of Food Security Indicators","Central African Republic","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2023","1133"
"Suite of Food Security Indicators","Central African Republic","Value","Gross domestic product per capita, PPP, (constant 2021 international $)","2024","1112"
"Suite of Food Security Indicators","Central African Republic","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2020-2022","56.3"
"Suite of Food Security Indicators","Central African Republic","Value","Prevalence of severe food insecurity in the total population (percent) (3-year average)","2021-2023","56.3"
