"","","","2020-2022 [20202022]","2020-2022 [20202022]","2020-2022 [20202022]","2020-2022 [20202022]","2021 [2021]","2021 [2021]","2021 [2021]","2021 [2021]","2021-2023 [20212023]","2021-2023 [20212023]","2021-2023 [20212023]","2021-2023 [20212023]","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]","2022-2024 [20222024]","2022-2024 [20222024]","2022-2024 [20222024]","2022-2024 [20222024]","2023 [2023]","2023 [2023]","2023 [2023]","2023 [2023]","2024 [2024]","2024 [2024]","2024 [2024]","2024 [2024]"
"Chad [148]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","27.9","Estimated value","Official estimate","","","","","%","25","Estimated value","Official estimate integrated with FAO data","","","","","%","25.1","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Chad [148]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","28.6","Estimated value","Official estimate","","","","","%","25.3","Estimated value","Official estimate integrated with FAO data","","","","","%","25.3","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Chad [148]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","28.3","Estimated value","Official estimate","","","","","%","25.2","Estimated value","Official estimate integrated with FAO data","","","","","%","25.2","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Chile [152]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","29090","Figure from external organization","","","","","","Int$/cap","29570","Figure from external organization","","","","","","Int$/cap","29564","Figure from external organization","","Int$/cap","30183","Figure from external organization",""
"Chile [152]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","5.7","Figure from external organization","","","","","","million No","5.9","Figure from external organization","","","","","","","","","","","","",""
"Chile [152]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.16","Figure from external organization","","","","","","","0.13","Figure from external organization","","","","","","","","","","","","",""
"Chile [152]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","4","Estimated value","Official estimate","","","","","%","4","Estimated value","Official estimate integrated with FAO data","","","","","%","3.6","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Chile [152]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","3.2","Estimated value","Official estimate","","","","","%","3.4","Estimated value","Official estimate integrated with FAO data","","","","","%","3.5","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Chile [152]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","3.6","Official figure","Official estimate","","","","","%","3.7","Estimated value","Official estimate integrated with FAO data","","","","","%","3.6","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"China [159]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","66589","Figure from external organization","","","","","","Int$/cap","63696","Figure from external organization","","","","","","Int$/cap","67976","Figure from external organization","","Int$/cap","70304","Figure from external organization",""
"China [159]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","88.3","Figure from external organization","","","","","","million No","94.3","Figure from external organization","","","","","","","","","","","","",""
"China [159]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China [159]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China [159]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China [159]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China, Hong Kong SAR [344]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","65885","Figure from external organization","","","","","","Int$/cap","64037","Figure from external organization","","","","","","Int$/cap","64429","Figure from external organization","","Int$/cap","66171","Figure from external organization",""
"China, Hong Kong SAR [344]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China, Hong Kong SAR [344]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.26","Figure from external organization","","","","","","","0.57","Figure from external organization","","","","","","","","","","","","",""
"China, Hong Kong SAR [344]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China, Hong Kong SAR [344]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China, Hong Kong SAR [344]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China, Macao SAR [446]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","74178","Figure from external organization","","","","","","Int$/cap","60090","Figure from external organization","","","","","","Int$/cap","104962","Figure from external organization","","Int$/cap","112844","Figure from external organization",""
"China, Macao SAR [446]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China, Macao SAR [446]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","1.03","Figure from external organization","","","","","","","1.12","Figure from external organization","","","","","","","","","","","","",""
"China, Macao SAR [446]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"China, Macao SAR [446]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"China, Macao SAR [446]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"China, Taiwan Province of [158]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China, Taiwan Province of [158]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China, Taiwan Province of [158]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China, Taiwan Province of [158]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China, Taiwan Province of [158]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China, Taiwan Province of [158]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China, mainland [156]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China, mainland [156]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China, mainland [156]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"China, mainland [156]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China, mainland [156]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"China, mainland [156]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Colombia [170]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","17383","Figure from external organization","","","","","","Int$/cap","18459","Figure from external organization","","","","","","Int$/cap","18383","Figure from external organization","","Int$/cap","18504","Figure from external organization",""
"Colombia [170]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","8.7","Figure from external organization","","","","","","million No","9.1","Figure from external organization","","","","","","","","","","","","",""
"Colombia [170]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.95","Figure from external organization","","","","","","","-0.63","Figure from external organization","","","","","","","","","","","","",""
"Colombia [170]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","5.7","Estimated value","Official estimate integrated with FAO data","","","","","%","5.7","Estimated value","Official estimate integrated with FAO data","","","","","%","5.4","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Colombia [170]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","4.8","Estimated value","Official estimate integrated with FAO data","","","","","%","5","Estimated value","Official estimate integrated with FAO data","","","","","%","4.5","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Colombia [170]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","5.3","Estimated value","Official estimate integrated with FAO data","","","","","%","5.3","Official figure","Official estimate integrated with FAO data","","","","","%","5","Official figure","Official estimate integrated with FAO data","","","","","","","",""
"Comoros [174]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","3449","Figure from external organization","","","","","","Int$/cap","3478","Figure from external organization","","","","","","Int$/cap","3517","Figure from external organization","","Int$/cap","3568","Figure from external organization",""
"Comoros [174]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.1","Figure from external organization","","","","","","million No","0.1","Figure from external organization","","","","","","","","","","","","",""
"Comoros [174]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.23","Figure from external organization","","","","","","","-0.23","Figure from external organization","","","","","","","","","","","","",""
"Comoros [174]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","28.4","Estimated value","FAO data","","","","","%","28.4","Estimated value","FAO data","","","","","%","28.1","Estimated value","FAO data","","","","","","","",""
"Comoros [174]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","26.4","Estimated value","FAO data","","","","","%","26.4","Estimated value","FAO data","","","","","%","26.7","Estimated value","FAO data","","","","","","","",""
"Comoros [174]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","27.4","Estimated value","FAO data","","","","","%","27.4","Estimated value","FAO data","","","","","%","27.4","Estimated value","FAO data","","","","","","","",""
"Congo [178]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","6263","Figure from external organization","","","","","","Int$/cap","6205","Figure from external organization","","","","","","Int$/cap","6172","Figure from external organization","","Int$/cap","6182","Figure from external organization",""
"Congo [178]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.3","Figure from external organization","","","","","","million No","0.3","Figure from external organization","","","","","","","","","","","","",""
"Congo [178]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.23","Figure from external organization","","","","","","","0.04","Figure from external organization","","","","","","","","","","","","",""
"Congo [178]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Congo [178]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Congo [178]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","%","","Missing value; suppressed","","","","","","","","",""
"Cook Islands [184]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cook Islands [184]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","<0.1","Figure from external organization","","","","","","million No","<0.1","Figure from external organization","","","","","","","","","","","","",""
"Cook Islands [184]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cook Islands [184]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Cook Islands [184]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Cook Islands [184]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Costa Rica [188]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","23853","Figure from external organization","","","","","","Int$/cap","24832","Figure from external organization","","","","","","Int$/cap","25980","Figure from external organization","","Int$/cap","26973","Figure from external organization",""
"Costa Rica [188]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.2","Figure from external organization","","","","","","million No","1.2","Figure from external organization","","","","","","","","","","","","",""
"Costa Rica [188]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.86","Figure from external organization","","","","","","","0.96","Figure from external organization","","","","","","","","","","","","",""
"Costa Rica [188]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","3.2","Estimated value","Official estimate","","","","","%","3.1","Estimated value","Official estimate integrated with FAO data","","","","","%","3","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Costa Rica [188]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","2.6","Estimated value","Official estimate","","","","","%","2.6","Estimated value","Official estimate integrated with FAO data","","","","","%","2.3","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Costa Rica [188]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","2.9","Estimated value","Official estimate","","","","","%","2.8","Estimated value","Official estimate integrated with FAO data","","","","","%","2.7","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Croatia [191]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","36931","Figure from external organization","","","","","","Int$/cap","39862","Figure from external organization","","","","","","Int$/cap","41135","Figure from external organization","","Int$/cap","42631","Figure from external organization",""
"Croatia [191]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1","Figure from external organization","","","","","","million No","1","Figure from external organization","","","","","","","","","","","","",""
"Croatia [191]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.62","Figure from external organization","","","","","","","0.67","Figure from external organization","","","","","","","","","","","","",""
"Croatia [191]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","2.2","Estimated value","FAO data","","","","","%","1.3","Estimated value","FAO data","","","","","%","1","Estimated value","FAO data","","","","","","","",""
"Croatia [191]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","1.5","Estimated value","FAO data","","","","","%","1.5","Estimated value","FAO data","","","","","%","1.1","Estimated value","FAO data","","","","","","","",""
"Croatia [191]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","1.9","Estimated value","FAO data","","","","","%","1.4","Estimated value","FAO data","","","","","%","1","Estimated value","FAO data","","","","","","","",""
"Cuba [192]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cuba [192]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.9","Figure from external organization","","","","","","million No","2","Figure from external organization","","","","","","","","","","","","",""
"Cuba [192]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.39","Figure from external organization","","","","","","","0.49","Figure from external organization","","","","","","","","","","","","",""
"Cuba [192]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Cuba [192]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Cuba [192]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Cyprus [196]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","48781","Figure from external organization","","","","","","Int$/cap","51588","Figure from external organization","","","","","","Int$/cap","52191","Figure from external organization","","Int$/cap","53253","Figure from external organization",""
"Cyprus [196]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.2","Figure from external organization","","","","","","million No","0.2","Figure from external organization","","","","","","","","","","","","",""
"Cyprus [196]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.42","Figure from external organization","","","","","","","0.42","Figure from external organization","","","","","","","","","","","","",""
"Cyprus [196]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","<0.5","Estimated value","Official estimate","","","","","","","",""
"Cyprus [196]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","<0.5","Estimated value","Official estimate","","","","","","","",""
"Cyprus [196]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","<0.5","Estimated value","Official estimate","","","","","","","",""
"Czechia [203]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","47796","Figure from external organization","","","","","","Int$/cap","48391","Figure from external organization","","","","","","Int$/cap","47510","Figure from external organization","","Int$/cap","47962","Figure from external organization",""
"Czechia [203]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","2.2","Figure from external organization","","","","","","million No","2.2","Figure from external organization","","","","","","","","","","","","",""
"Czechia [203]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.95","Figure from external organization","","","","","","","0.81","Figure from external organization","","","","","","","","","","","","",""
"Czechia [203]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","2","Estimated value","FAO data","","","","","%","2.3","Estimated value","FAO data","","","","","%","2","Estimated value","FAO data","","","","","","","",""
"Czechia [203]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","2.6","Estimated value","FAO data","","","","","%","2.2","Estimated value","FAO data","","","","","%","1.6","Estimated value","FAO data","","","","","","","",""
"Czechia [203]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","2.3","Estimated value","FAO data","","","","","%","2.2","Estimated value","FAO data","","","","","%","1.8","Estimated value","FAO data","","","","","","","",""
"Côte d'Ivoire [384]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","6045","Figure from external organization","","","","","","Int$/cap","6272","Figure from external organization","","","","","","Int$/cap","6512","Figure from external organization","","Int$/cap","6733","Figure from external organization",""
"Côte d'Ivoire [384]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","1.6","Figure from external organization","","","","","","million No","1.7","Figure from external organization","","","","","","","","","","","","",""
"Côte d'Ivoire [384]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.72","Figure from external organization","","","","","","","-0.59","Figure from external organization","","","","","","","","","","","","",""
"Côte d'Ivoire [384]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","9.5","Estimated value","Official estimate integrated with FAO data","","","","","%","9.1","Estimated value","Official estimate integrated with FAO data","","","","","%","8.6","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Côte d'Ivoire [384]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","9.3","Estimated value","Official estimate integrated with FAO data","","","","","%","8.8","Estimated value","Official estimate integrated with FAO data","","","","","%","8.3","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Côte d'Ivoire [384]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","9.4","Estimated value","Official estimate integrated with FAO data","","","","","%","8.9","Estimated value","Official estimate integrated with FAO data","","","","","%","8.4","Estimated value","Official estimate integrated with FAO data","","","","","","","",""
"Democratic People's Republic of Korea [408]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Democratic People's Republic of Korea [408]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","2.1","Figure from external organization","","","","","","million No","2.2","Figure from external organization","","","","","","","","","","","","",""
"Democratic People's Republic of Korea [408]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.48","Figure from external organization","","","","","","","-0.43","Figure from external organization","","","","","","","","","","","","",""
"Democratic People's Republic of Korea [408]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Democratic People's Republic of Korea [408]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Democratic People's Republic of Korea [408]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","","Missing value","","","","","","%","","Missing value","","","","","","%","","Missing value","","","","","","","","",""
"Democratic Republic of the Congo [180]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","1314","Figure from external organization","","","","","","Int$/cap","1386","Figure from external organization","","","","","","Int$/cap","1457","Figure from external organization","","Int$/cap","1504","Figure from external organization",""
"Democratic Republic of the Congo [180]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","2.9","Figure from external organization","","","","","","million No","3.1","Figure from external organization","","","","","","","","","","","","",""
"Democratic Republic of the Congo [180]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-1.66","Figure from external organization","","","","","","","-1.98","Figure from external organization","","","","","","","","","","","","",""
"Democratic Republic of the Congo [180]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","38.9","Estimated value","FAO data","","","","","%","40.3","Estimated value","FAO data","","","","","%","42.4","Estimated value","FAO data","","","","","","","",""
"Democratic Republic of the Congo [180]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","41.6","Estimated value","FAO data","","","","","%","43.1","Estimated value","FAO data","","","","","%","42.6","Estimated value","FAO data","","","","","","","",""
"Democratic Republic of the Congo [180]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","40.3","Estimated value","FAO data","","","","","%","41.7","Estimated value","FAO data","","","","","%","42.5","Estimated value","FAO data","","","","","","","",""
"Denmark [208]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","69715","Figure from external organization","","","","","","Int$/cap","70234","Figure from external organization","","","","","","Int$/cap","71455","Figure from external organization","","Int$/cap","73709","Figure from external organization",""
"Denmark [208]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.6","Figure from external organization","","","","","","million No","0.6","Figure from external organization","","","","","","","","","","","","",""
"Denmark [208]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","0.93","Figure from external organization","","","","","","","0.87","Figure from external organization","","","","","","","","","","","","",""
"Denmark [208]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","1.9","Estimated value","FAO data","","","","","%","1.6","Estimated value","FAO data","","","","","%","2","Estimated value","FAO data","","","","","","","",""
"Denmark [208]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","1.8","Estimated value","FAO data","","","","","%","2.1","Estimated value","FAO data","","","","","%","2.7","Estimated value","FAO data","","","","","","","",""
"Denmark [208]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","1.8","Estimated value","FAO data","","","","","%","1.9","Estimated value","FAO data","","","","","%","2.4","Estimated value","FAO data","","","","","","","",""
"Djibouti [262]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","5960","Figure from external organization","","","","","","Int$/cap","6181","Figure from external organization","","","","","","Int$/cap","6545","Figure from external organization","","Int$/cap","6841","Figure from external organization",""
"Djibouti [262]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","0.1","Figure from external organization","","","","","","million No","0.1","Figure from external organization","","","","","","","","","","","","",""
"Djibouti [262]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","-0.57","Figure from external organization","","","","","","","-0.51","Figure from external organization","","","","","","","","","","","","",""
"Djibouti [262]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","15.4","Estimated value","FAO data","","","","","%","15.4","Estimated value","FAO data","","","","","%","15.4","Estimated value","FAO data","","","","","","","",""
"Djibouti [262]","Value [6132]","Prevalence of severe food insecurity in the male adult population (percent) (3-year average) [210401M]","%","17.6","Estimated value","FAO data","","","","","%","17.6","Estimated value","FAO data","","","","","%","17.6","Estimated value","FAO data","","","","","","","",""
"Djibouti [262]","Value [6132]","Prevalence of severe food insecurity in the total population (percent) (3-year average) [210401]","%","16.5","Estimated value","FAO data","","","","","%","16.5","Estimated value","FAO data","","","","","%","16.5","Estimated value","FAO data","","","","","","","",""
"Dominica [212]","Value [6132]","Gross domestic product per capita, PPP, (constant 2021 international $) [22013]","","","","","Int$/cap","15809","Figure from external organization","","","","","","Int$/cap","17551","Figure from external organization","","","","","","Int$/cap","18278","Figure from external organization","","Int$/cap","18739","Figure from external organization",""
"Dominica [212]","Value [6132]","Number of obese adults (18 years and older) (million) [210420]","","","","","million No","<0.1","Figure from external organization","","","","","","million No","<0.1","Figure from external organization","","","","","","","","","","","","",""
"Dominica [212]","Value [6132]","Political stability and absence of violence/terrorism (index)","","","","","","1.33","Figure from external organization","","","","","","","1.31","Figure from external organization","","","","","","","","","","","","",""
"Dominica [212]","Value [6132]","Prevalence of severe food insecurity in the female adult population (percent) (3-year average) [210401F]","%","5.8","Estimated value","FAO data","","","","","%","5.8","Estimated value","FAO data","","","","","%","","Missing value","","","","","","","","",""
